Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,LAT,LON,Seniority,Minimum Estimate,Maximum Estimate,City,State,AvgSalary
Data Scientist,$75K-$100K (Glassdoor est.),"Description

We are seeking a Data Scientist to solve some of our hardest technical challenges. You will work closely with our clients, fellow engineers, deployment strategists, and others across the company to implement projects from start to finish, participating in data discovery, analysis, algorithm development, feature extraction, and delivery of results.

You have a real passion for using dirty, disparate data to optimize business processes, and highlight relevant metrics and insightful stories. You prefer asking the right question as opposed to offering the right answer. You appreciate ambiguity and are comfortable guiding others while obsessing over details.

We encourage people from underrepresented groups to apply.

What You'll Do
Explore Data - Understand and identify preliminary signals in the data prior to deep processing. Quickly analyze the dataset to assess its usefulness for machine learning.
Prototype Models ­ Develop features, uncover patterns, and build models.
Explore Techniques - From simple regressions to neural networks, we use a variety of techniques. You'll have the freedom to explore multiple methods to squeeze insights out of data.
Productize Models ­ A pattern is good, but a prescriptive solution is better. Build products that help our customers get the most out of their data and workflows.

Requirements

Masters in a quantitative discipline (e.g. Stats, Math, Physics, Engineering, etc.)
5+ years of experience in data science/machine learning roles
3+ years of experience working with geospatial data together with spatial risk/catastrophe modeling and/or environmental modeling
Advanced knowledge of machine learning methods and statistical principles, including experience in Bayesian statistics, anomaly detection, and/or time series forecasting
Well versed in Python or R (and willingness to continue to learn the Python ecosystem)
Proven experience designing and delivering solutions using large, real-world datasets to support business decisions

Benefits

Mission Driven - Some companies use AI to serve better digital ads and trade stocks, we seek to make our communities safer and more resilient.
Top Compensation - Competitive compensation package.
Best in Class Medical Coverage - 100% benefits and premiums paid.
Prime NoHo Location - Our office sits in the heart of NYC's historic NoHo district and is just minutes away from the BDFM and 6 subway lines.
Health Perks - Gym reimbursement and citibike membership.
Strong Culture - collaborative office focused on teamwork, humility, and hustle.
Catered lunch on Thursdays, plus a kitchen filled with snacks and drinks.
We're an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.",3.8,"Urbint
3.8","New York, NY","New York, NY",1 to 50 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,40.7127753,-74.0059728,unspecified,75,100,New York, NY,87.5
Data Scientist,$75K-$100K (Glassdoor est.),"Job Title: Data Scientists

Job Description
Join an elite group dedicated to continuous personal improvement as GCT is currently seeking Data Scientists of all levels to support an intelligence agency with insights gained from analyzing voluminous sensor data. The ideal candidate is adept at using large data sets to find opportunities for process optimization and using models to test the effectiveness of different courses of action. Candidates must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.

Clearance: TS/SCI w/Full scope polygraph (or used within the past 24 months)

Education/Experience Requirements

Senior Positions:
Masters degree in Data Science, Statistics, Mathematics, Computer Science or another quantitative field, or extensive comparable experience
10+ years of relevant experience
Junior/Intermediate Positions
Completed B.S. in Data Science, Mathematics, Statistics, Computer Science, Computer Engineering, or a closely related technical field
3-9 years of relevant experience
Qualifications
Experience using statistical computer languages (SAS, SPSS, R, Python, SLQ, etc.) to manipulate data and draw insights fromlarge data sets
Experience working with and creating data architectures
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications
Excellent written and verbal communication skills
Strong problem solving skills
A drive to learn and master new technologies and techniques
Desired Skills
Experience manipulating data sets and building statistical models
Coding knowledge and experience with several languages: C, C++, Java, JavaScript, etc.
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, Bayes, etc.
Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.
Experience using web services: Redshift, S3, Spark, DigitalOcean, AWS, etc.
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.
Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.
Experience visualizing/presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot, etc.
The success of Great-Circle Technologies depends on the success and well-being of its employees. GCT promotes work/life balance and encourages the overall well-being of each of its contributors. A comprehensive benefits package is provided, which currently includes company paid single medical, dental, life, disability, and long-term care insurances (with contributions to family premiums,) matching 401k plan, 34 days off per year including 10 Federal holidays plus the day after Thanksgiving, Christmas and New Year’s eves!

Join us at Great-Circle Technologies, where innovation is the shortest distance between two points.

Great-Circle Technologies is an Equal Opportunity Employer. Great-Circle Technologies ensures all qualified applicants will receive consideration for employment without regard to gender, race, ethnic background, religion, disability, sexual orientation, gender identity, national origin, age, or protected veteran status.",2.2,"Great-Circle Technologies
2.2","Chantilly, VA","Chantilly, VA",1 to 50 employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),-1,38.8942786,-77.43109919999999,unspecified,75,100,Chantilly, VA,87.5
Data Scientist,$75K-$100K (Glassdoor est.),"Description

SHIFT: Day Job

SCHEDULE: Full-time

Design, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc.

As a member of the software engineering division, you will assist in defining and developing software for tasks associated with the developing, debugging or designing of software applications or operating systems. Provide technical leadership to other software developers. Specify, design and implement modest changes to existing software architecture to meet changing needs.

Duties and tasks are varied and complex needing independent judgment. Fully competent in own area of expertise. May have project lead role and or supervise lower level personnel. BS or MS degree or equivalent experience relevant to functional area. 4 years of software engineering or related experience.

Oracle is an Affirmative Action-Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, protected veterans status, age, or any other characteristic protected by law.

Qualifications
Oracle’s Digital Assistant Cloud Service Team is creating innovative products that leverage the power of AI and Machine Learning to bring world-class natural language and speech capabilities to Oracle’s Digital Assistant platform. This team has a big charter and an incredible amount of creative freedom, with a start-up feel but with the stability of a big company. We have a tenured team of some of the smartest people in the industry and we are looking for exceptional and passionate Data Scientists to join our team!
As a Data Scientist at Oracle in our Digital Assistant Cloud Service Team, you will work with a tenured and incredibly smart team of people to improve the accuracy and efficiency of existing deep learning models by applying your data science expertise to relevant data.
Desired Skills and Qualifications:
BS or MS degree in Computer Science or related field.
3+ years of professional experience in industry.
Superior ability to analyze and interpret the results of product experiments.
Processing, cleansing, and verifying the integrity of data.
Experience converting ambiguous messy data into tangible actionable results.
Exposure to every aspect of data science.
Experience in data augmentation technologies.
Experience in enhancing data collection procedures to include relevantinformation.
Exposure to Deep Learning, Neural Networks, or related fields and a strong interest and desire to learn about them.
Experience in extending company’s data with third party sources of information when needed.
Experience in programming in Python or similar languages.
Ability to adapt to a fast-paced work environment and can quickly adjust to changing priorities.
Detail oriented with focus on quality of the product, data, and code.
Fluency in spoken/read/written English.
Our environment is exciting and challenging where every person is empowered to show initiative, be outspoken, and be proactive and not reactive! Oracle is dedicated to the continual growth and development of its employees, striving constantly to strengthen our expertise as well as develop new skills, while always staying abreast of and creating new technology.

At Oracle, we don’t just value differences—we celebrate them. We’re committed to creating a workplace where all kinds of people work together. We believe innovation starts with diversity and inclusion.
https://www.oracle.com/corporate/careers/culture/diversity.html

]]>",3.5,"Oracle
3.5","Redwood City, CA","Redwood City, CA",10000+ employees,1977,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),"SAP, Salesforce, Microsoft",37.48521520000001,-122.2363548,unspecified,75,100,Redwood City, CA,87.5
Clinical Scientist,$75K-$100K (Glassdoor est.),"Dicerna Pharmaceuticals, Inc. (Nasdaq: DRNA) is a biopharmaceutical company focused on discovering, developing and commercializing medicines that are designed to leverage ribonucleic acid interference (RNAi) to selectively silence genes that cause or contribute to disease. Using our proprietary RNAi technology platform called GalXC, Dicerna is committed to developing RNAi-based therapies with the potential to treat both rare and more prevalent diseases. By reducing the level of disease-causing proteins in the hepatocytes of the liver, Dicerna's GalXC has the potential to safely target conditions that are difficult to treat with other modalities. Continually innovating, Dicerna is also exploring new applications of RNAi technology beyond the liver, targeting additional tissues and enabling new therapeutic applications. In addition to our own pipeline of core discovery and clinical candidates, Dicerna has established collaborative relationships with some of the world's leading pharmaceutical companies, including Novo Nordisk A/S, Roche, Eli Lilly and Company, Alexion Pharmaceuticals, Inc. and Boehringer Ingelheim International GmbH. Between Dicerna and our collaborative partners, we currently have more than 20 active discovery, preclinical or clinical programs focused on rare, cardiometabolic, viral-infectious, chronic-liver and complement-mediated diseases, as well as neurodegeneration and pain. At Dicerna, our mission is to interfere to silence genes, to fight disease, to restore heath. For more information, please visit www.dicerna.com.

Dicerna is seeking a clinical scientist to support development and execution of medical & clinical strategy for assigned Dicerna product(s).

Key Responsibilities:
Contribute to design and execution of clinical studies by partnering with Head of Late Stage Development and interfacing with clinical operations, regulatory strategy, biostatistics (clinical pharmacology , pre-clinical development, research, business development and CROs
Serve as a scientific resource to cross-functional internal teams to facilitate quality of study execution and problem resolution. Provide relevant clinical scientist expertise to internal teams, including clinical operations and medical writing to ensure quality processes and deliverables
Support development of clinical studies and reviews clinical protocols and clinical study reports for scientific and operational accuracy.
Contribute to authorship of clinical trial protocols, protocol amendments and informed consents; clinical study reports, publications and presentations; and regulatory filings including investigator's brochures, briefing books , responses to questions from regulatory agencies and NDA/MAA filings
Review of scientific and medical literature relevant to product therapeutic areas.
Support clinical development strategy of the program by researching and summarizing past and current clinical practice and evolving diagnostic and treatment landscapes for disease areas of program interest
Participate in development and continuous improvement of processes and workflows
Performs literature searches and coordinates scientific discussions relevant for designing study protocols, interacting efficiently with internal/external collaborators to ensure the trial design is in line with current regulatory and scientific requirements
Provides ongoing critical evaluation of development strategies to maintain state-of-the-art clinical development plans that are competitive and consistent with the latest regulatory requirements; proactively identifies challenges and develops contingency plans to mitigate
Participates in the monitoring and interpreting of data from an overall scientific standpoint, assessing the scientific implications and making recommendations that can impact clinical development
Support, and/or participates in marketing and clinical/medical advisory panels, steering committees and investigator meetings.
Support of the Dicerna Medical Monitor in the review, analysis and reporting of clinical trial data as well as support and co-authoring development and review of clinical study documents, reports etc,
Participate in regulatory meetings for Dicerna programs
Qualifications:
Master degree in life sciences
Experience (5+ years) of clinical research and organizational management within the pharmaceutical industry, a CRO or academic research
Demonstrated ability to collaborate in a matrixed environment
Relevant experience in writing clinical documents such as study protocol and study reports
Excellent writing and communication skills in English are essential
Must be adaptable and enjoy working in a fast-paced, growth oriented environment.
Knowledge and understanding of Good Clinical Practice, ICH guidelines and the regulatory landscape in the United States, Canada and Europe preferred
Attentive to details; good initiative and able to work collaboratively in dynamic small teams of internal and external partners in a fast-paced environment with changing priorities under tight timelines",4.8,"Dicerna
4.8","Cambridge, MA","Lexington, MA",201 to 500 employees,2007,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,42.3736158,-71.10973349999999,unspecified,75,100,Cambridge, MA,87.5
Data Scientist,$75K-$100K (Glassdoor est.),"At 605 we are engineers, analysts, data scientists, media experts, marketing strategists and political operatives. Our team of data scientists pioneered the field of TV data analytics. We offer unique, independent audience measurement and analytics to build better marketing and programming initiatives within the media and entertainment industries.

The Data Scientist role is a mid-level position in 605’s data science group, a technical and methodology-focused team within 605’s Product division. All analysts and data scientists at 605 share a knowledge of statistics and machine learning, R and/or python, and familiarity with relational databases and the scale/variety of 605’s data assets. In contrast to the more client-facing teams within the Product division (e.g., the Analytics team), the Data Science team brings to the table some deeper technical skills, including:
Hands-on experience with industry-standard predictive modeling solutions such as scikit-learn, xgboost, Spark ML, and H2O.ai in a production setting
Familiarity with diverse methods for supervised learning, unsupervised learning, ETL pipelines in general
A more nuanced understanding of cloud-based (Amazon Web Services) computing resources/infrastructure, especially the need for and methods of parallelization for analytics tasks
Experience in designing and implementing wrapper/tool/utility functions for automated tasks, to be used by less-technical Analytics team members, and organizing them into distributable, regularly maintained and tested R/python packages
Proficiency with source code management (git) and related code development/review workflows, as well as continuous integration tools like Travis or Jenkins
A data scientist will generally be involved in one or two projects at any given time, managed by the Senior Director of Data Science, and will work alongside other data scientists or analysts. Projects produce both client-facing deliverables as well as internal tools/datasets consumed by various teams at 605 (Analytics, Engineering, and Client Solutions).

Requirements

Basic Requirements:
Masters degree in a quantitative, scientific, or engineering field, or > 2 years experience in a data-related work environment
Intermediate-to-advanced level proficiency in either R or Python
Knowledge of modeling algorithms for supervised learning
Familiarity with Linux/Unix operating system, shell environments and using remote machines
Beginner-to-intermediate level proficiency of postgres SQL
Preferred Skills:
Doctoral degree in a quantitative, scientific, or engineering field, or > 4 years experience in a data-heavy work environment
Experience with AWS services (Redshift / S3 / EC2)
Experience with Databricks
Familiarity with git and/or github.com, or any other version control framework
Proficiency with Apache Spark (via Scala, Python, R or Java)
Past work with survey data, demographic and consumer data, and/or TV viewing data
Advanced knowledge of postgres SQL
Benefits
Comprehensive health and dental insurance for employees and their families
Life insurance
401k with match, eligible for match after one year
Pre-tax flexible compensation plan for medical, transit, parking or dependent care expenses
15 paid vacation days
Sick days—if you’re sick, you stay home
Work-from-home Fridays
A kitchen stocked with sodas, snacks, yogurt and other goodies
A tight-knit startup community who likes to eat! We celebrate everyone’s birthdays, have frequent team lunches, and do events in and out of the office
605 is an active participant in conferences
EEO STATEMENT

At 605, we’re just as passionate about diversity as we are about pioneering the field of TV data analytics. We are committed to cultivating an environment of mutual respect and equal opportunity. All hiring and advancement decisions are made on the basis of qualification, merit, and business need.",5.0,"605
5.0","New York, NY","New York, NY",51 to 200 employees,2016,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,40.7127753,-74.0059728,unspecified,75,100,New York, NY,87.5
Data Scientist,$75K-$100K (Glassdoor est.),"HCL Technologies is a next-generation global technology company that helps enterprises reimagine their businesses for the digital age. Our technology products, services and engineering are built on four decades of innovation, with a world-renowned management philosophy, a strong culture of invention and risk-taking, and a relentless focus on customer relationships. With a worldwide network of RD, innovation labs and delivery centers, and 150,000+ lsquoIdeapreneursrsquo working in 46 countries, HCL serves leading enterprises across key industries, including 250 of the Fortune 500 and 650 of the Global 2000. Our California based technical team is looking to hire a Data Scientist for a Full time position based in San Jose, CA No of Position 1 Location San Jose CA Position Type Full time Job Title Data Scientist Description Responsibilities Contribute to development on multiple workstreams projects programs simultaneously. Work with product lead, eng lead and program manager to understand businessfunctional requirements and roadmaptimeline for delivery. Develop data model, pipelines and reportsdashboards per requirements and project plan. Plan and execute test plans and test cases. Participate in project team meetings. Proactively communicate status of development, raiseescalate issueschallenges as they arise. Required Skills Expert-level data science, data modelling, data pipeline skills. Solid understanding of data management concepts - data processing, analytics, machine learning and visualization. Experience with Data Manipulation using PythonPyspark Experience with JupyterCOLAB using Python libraries such as Pandas, Sklearn, NLTK, Gensim Interested in Text analytics, Natural Language processing, Classification and Clustering Significant experience creating clean, insightful dashboards for executives and non-technical audiences, using Tableau, Microstrategy, Qlik or similar products. Eye for product excellence - developing low-latency, reliable reportspipelines designing with data visualization best practices. Excellent written and verbal communication skills. Ability to organize, prioritize and plan their own work, while aligning with projectprogram priorities and changes to priorities. Ability to work with a diverse team of engineers analysts, across locations, and on multiple programs simultaneously.",3.4,"HCL America Inc.
3.4","San Jose, CA","Noida, India",10000+ employees,1991,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),"Infosys, Tata Consultancy Services, Wipro",37.3382082,-121.8863286,unspecified,75,100,San Jose, CA,87.5
Data Scientist,$75K-$100K (Glassdoor est.),"Hi, Role Data Scientist Location Minneapolis, MN Duration 6-9 Month Contract Our client is seeking a skilled Data Scientist to assist with a data encryption project. This project involves un-encryption of data to access for regulatory reporting, and re-encryption after reporting is complete. This includes re-writing all models and reports that use this data and inserting code into the models. Analysis of reports and data to identify any patterns of fraud or similar activities will be required. Successful candidates will have the following 8+ years of experience in one or a combination of the following reporting or analytics or 4+ years previously mentioned experience with a Masterrsquos degree or higher that has a quantitative focus such as applied mathematics, statistics, engineering, physics, accounting, finance, economics, econometrics, computer sciences, or businesssocial and behavioral sciences with a quantitative emphasis 4+ years of SAS experience 4+ years of data warehousing experience Thanks Regards, Shiva Komarapu",4.2,"XTGlobal
4.2","Minneapolis, MN","Plano, TX",201 to 500 employees,1998,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),-1,44.977753,-93.2650108,unspecified,75,100,Minneapolis, MN,87.5
Data Scientist,$75K-$100K (Glassdoor est.),"We believe the future of money is integrated and personal. Bond’s mission is to accelerate the pace of financial innovation and access to capital. Our enterprise-grade financial technology platform streamlines the integration between brands and banks, dramatically reducing friction and creating a more repeatable model. Through our AI-powered infrastructure, Bond enables digital brands to better engage their customers by offering personalized and compliant banking products.

Bond is hiring a Data Scientist team to partner with the executive team and other cross functional stakeholders such as Product, Marketing, Design and Compliance. You will own metric definition, analysis, and presentation of critical business metrics for the team to drive growth and efficiency across the company.

You will:

Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both our consumer and business products
Partner with Product and Engineering teams to solve problems and identify trends and opportunities
Inform, influence, support, and execute our product decisions and product launches
Questions you may be asked to perform:
Forecasting and setting product team goals
Designing and evaluating experiments
Monitoring key product metrics, understanding root causes of changes in metrics
Building and analyzing dashboards and reports
Building key data sets to empower operational and exploratory analysis

You will have:

1-3 years of experience in data science and analytics in financial services
Experience in trend analysis, factor based analysis and predictive modeling.
Strong communication skills
Expert knowledge of SQL, python, R
BS in engineering, mathematics, science or equivalent

You may also have:

Advanced degrees
Familiarity with machine learning
Familiarity with Tableau, Looker, PowerBI or other data visualization tools
Ability to work in a dynamic, cross-functional environment, with a strong attention to detail

At Bond, we value leadership and believe everyone is a leader. We look for people who operate like owners, who loves to learn, have grit, and operate with integrity and empathy. You're encouraged to apply even if your experience doesn't precisely match the job description. Your skills and passion will stand out — and set you apart. We welcome diverse perspectives and people who are not afraid to challenge assumptions.

Bond is proud to be an equal opportunity workplace. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, gender, gender identity, parental or pregnancy status, national origin, sexual orientation, age, citizenship, marital status, disability, or Veteran status.",-1.0,Bond,"San Francisco, CA","San Francisco, CA",1 to 50 employees,2019,Company - Private,Financial Analytics & Research,Finance,Unknown / Non-Applicable,-1,37.7749295,-122.4194155,unspecified,75,100,San Francisco, CA,87.5
Data Scientist,$75K-$100K (Glassdoor est.),"Job Summary

The Bioinformatics Programmer will work with the Principal Investigator (PI)
under direct supervision in designing, testing, and validating algorithms and
models for data analysis, providing data visualization of analyzed results, for
various ongoing life sciences projects. The successful applicant will use
professional bioinformatics concepts, and assist in additional analyses as
needed to achieve research objectives.

Please note: This is a full time one year contract position starting from the
date of hire.

MEDICINE / CARDIOLOGY
The Arnaout laboratory studies deep and machine learning methods for biomedical
imaging and related clinical data, with the goals of decreasing diagnostic
error and developing and scaling novel phenotypes to drive precision medicine
research.

UCSF is a top-10 medical center and a leader in cross-campus efforts to mine,
harmonize, and analyze multi-modal clinical data for the University of
California s 15 million patients.

The Arnaout laboratory is part of both the Bakar Computational Health Sciences
Institute, where the aforementioned efforts are based, and the nationally
ranked Department of Medicine. Projects focus on deep learning for medical
imaging, and through collaborative work with intra- and inter-institutional
partners, touch the electronic health record, genetics, and other sources of
data.

Required_Qualifications
Master s degree in bioengineering, computer science, or related
computational field, or three years of equivalent data science experience
Minimum one year of industry experience in data science, specifically
with cutting-edge machine learning approaches to data analysis; two to
three years preferred
Working knowledge of bioinformatics methods and data structures
Working knowledge of databases
Working knowledge of modern biology and applicable field of research
Knowledge of application and data security concepts
Fluency in Python
Working knowledge of R and bioinformatics pipelines
Expertise in machine learning techniques such as convolutional neural
networks, recursive neural networks, LSTMs, random forests
Interest in applying computational analysis to life sciences data
Demonstrate high integrity and professionalism to work with patient data
in a HIPPA-compliant in a morally and ethically responsible manner
Team player with interpersonal skills in order to work with both
technical and non-technical personnel at various levels in the
organization
Ability to communicate technical information in a clear and concise
manner
Self-motivated, able to learn quickly, meet deadlines and demonstrate
strong organizational and problem solving skills
Note: Physical/health screening required.

Preferred_Qualifications
Two to three years of industry experience in data science, specifically
with cutting-edge machine learning approaches to data analysis
Working knowledge of applications programming and web development
Working project management skills
License/Certification
n/a
Job Code and Payroll Title
9402 Bioinformatics Programmer II
Organization
Campus
Appointment Type
Career
Percentage
100%
Location
TBD
Work Days
40 hours per week
Shift
Days
Shift Length
8 Hours
Equal Employment Opportunity
The University of California San Francisco is an Equal Opportunity/Affirmative
Action Employer. All qualified applicants will receive consideration for
employment without regard to race, color, religion, sex, sexual orientation,
gender identity, national origin, age, protected veteran or disabled status, or
genetic information.",4.0,"University of California San Francisco
4.0","San Francisco, CA","San Francisco, CA",10000+ employees,1864,College / University,-1,-1,$25 to $50 million (USD),-1,37.7749295,-122.4194155,unspecified,75,100,San Francisco, CA,87.5
Data Scientist,$75K-$100K (Glassdoor est.),"Working in a high performing team as part of a high-profile joint AI venture between a data-centric American multinational and a leading AI software vendor, you will develop large scale IoT, Predictive Analytics and AI solutions. They are a collaborative team that provides excellent training and are growing the Data Science function further, seeking individuals with varying skills and backgrounds on a full-time basis. This is a stable business with an excellent market reputation, operating globally with their main site in Houston. They're offering the successful applicant long-term job security, a competitive salary and attractive benefits. They are a business that values ideas and your voice will certainly not be lost, despite their size. You'll have autonomy to partner with a number of business areas and work across a variety of workstreams. Given the strong financial backing for the joint-venture, they are offering something most employers can't at this point in time. They have partnered with me on an exclusive basis to secure a number of Data Scientists for their team in Houston. What you will bring to the table Strong Python skills Some experience in Data Engineering to compliment your Data Science skillset A natural ability to solve problems Excellent statistics or mathematics skills Industry experience across one or more of the following areas Supply Chain, Mechanical Engineering, Oil Gas, Manufacturing, Services, Drilling, Geophysics, Quality A degree in a discipline such as Statistics, Mathematics, Computer Science or similar field (preferably Masters or PhD level) Oscar Associates Limited (US) is acting as an Employment Agency in relation to this vacancy.",-1.0,Oscar Associates Americas LLC,"Houston, TX",-1,-1,-1,-1,-1,-1,-1,-1,29.7604267,-95.3698028,unspecified,75,100,Houston, TX,87.5
Lead AI Data Scientist,$75K-$100K (Glassdoor est.),"Why choose between doing meaningful work and
having a fulfilling life? At MITRE, you can have both. That's because MITRE
people are committed to tackling our nation's toughest challenges—and we're
committed to the long-term well-being of our employees. MITRE is different from
most technology companies. We are a not-for-profit corporation chartered to
work for the public interest, with no commercial conflicts to influence what we
do. The Research & Development centers we operate for the government create
lasting impact in fields as diverse as cybersecurity, healthcare, aviation,
defense, and enterprise transformation. We're making a difference every
day—working for a safer, healthier, and more secure nation and world.

A chance to provide active support to our sponsor’s vital
national security mission and to build MITRE’s capabilities in the artificial
intelligence and machine learning arenas.
This is a technically focused role that in intended to grow to a
strategic leadership role crossing multiple sponsor organizations. The selected
candidate will have access to multiple datasets and will work with domain
experts to develop and implement computational analytics for information
discovery. Activities will run the full lifecycle
from data preparation through final presentation. This role requires the
ability to perform technical evaluation and selection of technologies and
alternatives, formulation of computational strategies and hands on
implementation with real world datasets. Activities may include in-depth
analysis of technology, planning and conducting experiments, prototypes and
simulations, producing assessments, and developing strategies for creating
repeatable workflows. The role also
requires the ability to communicate findings and impacts to a diverse audience,
including senior decision makers. This
is a strategic leadership role with the successful candidate also advising and
working to expand MITRE’s internal capabilities and programs in artificial
intelligence and machine learning.

Technical degree with experience in software engineering and
prototyping for analytics.

Minimum of 5 years of experience in a technical field,
including but not limited to: Computer Science, Data Science, Computational
Analytics, Informatics, or Machine Learning.

Experience with Python, R, and Jupyter Notebooks

Strong analytic,
inferencing, critical thinking, and creative problem-solving skills.

Self-starter with
ability to work alone and as part of a team.

Strong
communication skills and ability to explain technical concepts to non-technical
and senior decision-makers

Understanding of systems
engineering processes including requirements analysis

Current TS/SCI
clearance with polygraph
Desired Skills

Doctorate in computational
sciences or related field

Experience with data
wrangling for analytics and machine learning

Experience with
text analytics

Familiarity with
installing and configuring Anacondda, Tensorflow, and Keras

Experience with
cloud-based environments and other virtualization technologies

Current TS/SCI
clearance with polygraph

Due to the nature of the work and the immediacy of the need,
a mandatory requirement is an appropriate, active clearance (TS/SCI with
polygraph as accepted by the task sponsor) for the work program.",3.2,"MITRE
3.2","McLean, VA","Bedford, MA",5001 to 10000 employees,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),"Battelle, General Atomics, SAIC",38.9338676,-77.1772604,senior,75,100,McLean, VA,87.5
Data Scientist,$75K-$100K (Glassdoor est.),"At Jabil, we empower the brands who empower the world it's our reason for being and the guiding force that's driving us to become the most technologically advanced manufacturing solutions provider on the planet. Whether we're serving one of the world's biggest and best known brands or the coolest tech startups, our resolve never wavers. We share common desires with these brands: to make the world a better, safer and cleaner place.

JOB QUALIFICATIONS

KNOWLEDGE REQUIREMENTS

Advanced Statistics, operations research/ management, mathematics or business analytics with experience, courses, or project work in an analytic methods such as linear, mixed linear, constraint programming, modeling, simulation, time series analysis, pattern recognition, queuing theory, multivariate analysis, and other various predictive analytics techniques

Strong written and verbal communication skills and the ability to work effectively in teams and under pressure. Multi-lingual capability is a plus.

Ability to draw conclusions from data and prescribe actionable and measurable activities.

Highly motivated and creative, thinking ""out of the box"".

Familiarity with non-relational data frameworks (aka NoSQL, eg. Hive).

Experience with Apache Pig, Spark systems.

Strong team mentality, interpersonal and communications skills

Preferred working directly with management and executives

Jabil, including its subsidiaries, is an equal opportunity employer and considers qualified applicants for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identify, age, disability, genetic information, veteran status, or any other characteristic protected by law.

SDL2017",3.7,"Jabil Circuit
3.7","Florence, KY","Saint Petersburg, FL",10000+ employees,1966,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD),"Foxconn, Plexus",38.9989499,-84.62661109999999,unspecified,75,100,Florence, KY,87.5
Senior Data Scientist,$75K-$100K (Glassdoor est.),"Entefy’s Senior Data Scientist is a highly visible position both internally and externally. Join the intelligence revolution, where we can push the state-of-the-art boundaries of data science. This is where deep experience and multi-dimensional insights intersect with an amazing opportunity to shape the future of productivity for people everywhere.

Skills and Experience:
We’re not looking for “good.” Entefy is on a mission to find exceptional talent. The success of our mission depends on our team’s ability to be creatively analytical, insatiably curious, and absolutely fearless in tackling big challenges.
Requirements
Masters or PhD in in Computer Science, Mathematics, Statistics, Engineering, Physics, or related field preferred.
5+ years of relevant experience.
Demonstrable proficiency in Python, Scala, SQL, or R.
Strong data visualization and reporting skills.
Expertise in extracting insights from real-world structured and unstructured datasets.
Proven track record delivering high-value, advanced analytics.
Experience leading the work of other data scientists or analysts is preferred.
Strong communication skills
Startup agility and versatility.
Visit www.entefy.com and www.blog.entefy.com.",4.3,"Entefy
4.3","Palo Alto, CA","Palo Alto, CA",1 to 50 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,37.4418834,-122.1430195,senior,75,100,Palo Alto, CA,87.5
