,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
275,Instructional Designer,$28K-$54K (Glassdoor est.),"The Instructional Designer will develop and deliver onsite and remote training for internal staff and end users. The Instructional Designer will also be responsible for building and maintaining course curricula in multiple formats, gathering metrics regarding learning initiatives, and assessing the effectiveness of training.

Specific Duties
Create engaging course content that directs users to targeted learning objectives through the levels of learning.
Collaborate with product and subject matter experts to develop training curriculum for internal and external user training materials.
Conduct training needs assessment by collecting information pertaining to company products, workflow, and reports; understanding user specific functions and tasks.
Conduct customer and employee training using a variety of delivery methods including, but not limited to training videos, eLearning courses, written content, classroom, and teleconference sessions.
Articulate technical concepts, how they map to product features, and how the feature can solve customer business problems to both technical and non-technical audiences.
Make updates to training courses based on feedback and observations.
Design and administer assessments to certify understanding of course material.
Set training schedule and coordinate logistics.
Track, prepare, and distribute training assessments and outcomes.
Requirements
BA/BS degree in related field required. Master's in Instructional Design, Adult Learning, or a related field preferred.
3+ years of adult training or teaching experience.
Demonstrated experience developing training videos using video editing software. Experience using Camtasia, and Adobe Creative Cloud suite, or similar products strongly preferred.
Demonstrated ability to build curricula and respond to evolving product requirements and end user needs, including foreign language and internationalization requirements.
Demonstrated experience designing e-Learning courses and assessments.
Demonstrate outstanding technical writing and verbal communication skills.
Be an engaging, confident public speaker, particularly in an instructional setting.
Excellent decision making, analytical and problem-solving skills.
Be able to work efficiently in a time-sensitive environment, both as part of a team and independently.
Demonstrated knowledge of adult learning methodologies and how to apply those in growing and fast-paced environments.
Strong knowledge and experience establishing metrics and reporting to assess and track results.
Demonstrated attention to detail and commitment to high quality work, with a strong focus on internal/external customer satisfaction.
Ability to demonstrate and articulate creative thinking and a willingness to implement new approaches.
Maintain composure in critical situations and communicates well with both internal and external clients.
Industry certifications in instructional design, curriculum development, performance improvement, project management, and content specific certifications as appropriate (e.g. CPLP, CPT, PMP, etc.) preferred.
Lean, six sigma, or other process improvement methodology experience. Certification is preferred.
Additionally, knowledge of and/or experience with the following is a plus:
Commerce, Retail industry and/or supply chain experience is a strong plus.
Knowledge of Scrum Agile methodology and SDLC processes is a strong plus.",4.1,"CommerceHub
4.1","Albany, NY","Albany, NY",201 to 500 employees,1997,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),-1
276,IT Instructional Designer & Trainer,$28K-$54K (Glassdoor est.),"How many people can answer the question, ""What do you do for a living?"" with the answer, ""I help find cures for cancer."" At LLS, employees take our mission seriously. Whether you work in one of our chapters, are an accountant at the national office or a specialist in our Information Resource Center, you work each day on making our mission a reality: Cure leukemia, lymphoma, Hodgkin's disease and myeloma, and improve the quality of life of patients and their families.
Join us and give new meaning to the word, ""job.""

The Leukemia & Lymphoma Society (LLS) is an inspiring, mission-focused organization helping to cure blood cancers. That singular outcome, and the sense of urgency underlying it, motivates our employees to work hard and be willing to go above and beyond to achieve our goals. We strive to be good stewards or our donor dollars, driving us to be collaborative in our work and to respect and value the contributions of each person and department. LLS is an innovative and forward-looking non-profit whose true north is our patients and their families.
LLS is currently seeking an instructional designer & trainer to design, develop and deliver online courseware and live workshops in support of its new enterprise system initiative. The qualified candidate must possess proven experience in writing content both from scratch, using supplied source materials, as well as developing engaging interactivity options. The ideal candidate will be a team player that is able to switch gears easily and juggle multiple projects at once.


Perform all phases of instructional design including analysis, design, development, implementation, and evaluation
Conceptualize and design creative blended learning approaches for multimedia content presentation that maximize learner understanding of content .
Create eLearning scripts, storyboards, and PPT slides using solid instructional design methodology and adult learning theory.
Drive content presentation and interactivity decisions and assess content design approaches based on project and technical requirements.
Collaborate with subject-matter experts and development leads to ensure that program content, learning objectives, and delivery modes meet stated specifications.
Collaborate with Internal and External Stakeholders.
Ensure training plans meet budgetary requirements.
Develop training assessments that measure training delivery effectiveness
Provide updates to existing courses and materials as needed
Update and Manage Training Libraries
Exhibit strong communication skills, initiative, and independence
Be proactive in requesting clarification on any unclear direction or request
Work closely with project managers and developers to ensure content is delivered on time and within specified parameters

Bachelor's in Instructional Design, Adult Education, or related field required (Master's preferred) and familiarity with current research on instruction and adult learning
At least 5 years of learning design/development experience
Demonstrated flexibility/adaptability in a dynamic, fast-paced team environment
Familiarity with the cornerstone learning management systems and other learning platforms and technologies
Project Management experience
Proven ability to establish objectives, identify problems, analyze data, and creatively deliver solutions
Strong attention to detail is an absolute must
Ability to motivate people and gain consensus on design vision
Excellent written and verbal communication skills
Ability to translate analysis and complex technical content into practical learning solutions
Basic technology skills, including familiarity with Web development tools, Salesforce and mobile technology
Must be able and willing to assume occasional on-call assignments related to off-hours system rollout work

The statements herein are intended to describe the general nature and level of work being performed by employees, and are not to be construed as an exhaustive list of responsibilities, duties, and skills required of employees. Furthermore, they do not establish a contract for employment and are subject to change at the discretion of the Company. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.",3.6,"Leukemia & Lymphoma Society
3.6","Rye Brook, NY","Rye Brook, NY",501 to 1000 employees,1949,Nonprofit Organization,Health Fundraising Organizations,Non-Profit,$100 to $500 million (USD),-1
277,Interiors Project Designer,$28K-$54K (Glassdoor est.),"What you’ll do
The Project Designer is responsible for the development and refinement of the overall project design from schematic design through construction and project close out.
Description:
Design commercial interior projects and participate in all phases of design development
Collaborate with new and existing clients
Develop and oversee production of design details; research furniture options and create bid documents
Preparation of presentation and design drawings
Coordinate design teams
Mentor junior designers and interns
Assist in establishment of design fees, budgets, and schedules
Participate in marketing interviews and presentations
Requirements:
Minimum 10 years of interior design experience
Understanding of sustainable design as it applies to interior building systems and material selection
Experience in AutoCAD, Revit, 3D modelling, Sketch-up; or equivalent, and hand sketching
Knowledge and experience with Adobe Creative Suite
Experience with large commercial projects from strategic planning and conceptual design through construction drawings and construction administration
Aware of current commercial design styles and willingness to keep abreast of local and national design trends and products
Thorough knowledge of the architectural practice with an emphasis on client engagement, programming, planning, design, building materials, and construction methods
A working knowledge of structural, civil, mechanical, electrical and plumbing engineering systems
Understanding of all current code requirements
NCIDQ or CID qualified, preferred
LEED ID+C, Well and Fitwel credentials preferred
Bachelor’s degree in Interior Design or equivalent
Our Purpose
Together, we design places that inspire people to learn, to cure, to heal to connect to community, to change the world and to dream…won’t you join us?
DES Architects + Engineers has designed working, learning, and healing environments for our clients for 45 years. As a full-service design firm with offices in Redwood City and San Francisco we provide creative and sustainable solutions that serve the needs of life science, technology, healthcare, education, and development communities.
Why Us?
DES is committed to the well-being of our employees and their families. In addition to offering competitive salaries and bonuses, we provide 100% company-paid employee medical, dental, vision and life insurance as well as short and long-term disability benefits. The company offers a robust 401k plan with a generous company match and profit sharing. We offer a collaborative, friendly fun environment for our employees to thrive in, while offering a multitude of creative perks that you will be sure to appreciate.
We welcome, recognize, celebrate and encourage diversity and inclusion in our workplace. Our teams are comprised of people with experiences from diverse backgrounds which helps us gain a fresh perspective while challenging our own thinking about design. We are proud to be an equal opportunity employer. All qualified applicants will be considered without regard to race, religion, color, gender, age, national origin, sexual orientation, gender identity, protected veteran status, disability, or any other status protected by federal, state or local law.",3.4,"DES Architects + Engineers
3.4","San Francisco, CA","Redwood City, CA",51 to 200 employees,1973,Company - Private,Architectural & Engineering Services,Business Services,$25 to $50 million (USD),-1
278,UX Designer,$28K-$54K (Glassdoor est.),"Summary

Do you love developing solutions that satisfy both user goals and business goals? Are you all about beautiful digital experiences? We’re looking for an experienced UX Designer with an eye for detail to help our UX team create user experiences that are intelligent, efficient, simple, and delightful. We’re a small, energetic “UX Design Agency” in a large, thriving healthcare company. We serve healthcare professionals from across the nation and the work we do helps lead to better outcomes for millions of patients.
JOB RESPONSIBILITIES
Design intelligent and efficient screens, interactions, and workflows
Produce low- and high-fidelity wireframes
Produce HTML prototypes to hand off to developers
Contribute to visual design and UX standards development
What You Should Have

QUALIFICATIONS
5+ years of experience as a user experience designer, interaction designer, information architect, or similar UX-related role
Bachelor's degree in interaction design, human-computer interaction (HCI), or related UX degree or relevant work experience
A strong portfolio of work that demonstrates fluency in user-centric design
Working knowledge of front-end development (HTML, CSS, Javascript, Bootstrap, responsive design, etc.)
Fluency in best practices for information architecture and interaction design, user-centered design principles and process
Skilled at anticipating and designing for user needs by incorporating research, strategy and analytics
Working knowledge of the latest trends in UX and UI design
Excellent visual/verbal communicator with strong presentation, negotiation, collaboration and interpersonal skills
BONUS POINTS
Experience acquiring and analyzing user data (e.g., conducting usability studies, performing user research)
Our Company and What We Offer


eviCore healthcare is committed to making a positive impact on healthcare, and also making a positive impact on our employees. eviCore offers a variety of perks and benefits including, but not limited to:
Full medical, dental, vision, and vision benefits with employer funded HSA starting day 1
Strong work/life balance with 15 days of PTO (starting) per year plus paid holidays
Education assistance and tuition reimbursement along with ample opportunities for growth
Time away from work programs including employer paid short-term and long-term disability, caregiver leave, BTO (bought-time off) options, company paid volunteer community service hours, and more
Onsite fitness facilities, casual dress code- wear your jeans to work, and two comprehensive employee discount programs
Health coaching, Employee Assistance Program, resiliency and stress management solutions, Adoption Assistance Program and additional resources to support your well-being
Life & Accidental Death Dismemberment and additional Accidental Injury, Critical Illness, and Hospital Care Insurance
401k retirement plan with company match of 50% employee contributions up to 6%
And so much more! Check out evicore.com/careers to see all of the perks and benefits we offer.",3.6,"eviCore healthcare
3.6","Franklin, TN","Bluffton, SC",5001 to 10000 employees,1992,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,"naviHealth, Optum, Magellan Health"
279,Test Designer I (PDP),$28K-$54K (Glassdoor est.),"About the Role:


The Test Designer I will work with Application Development staff in creating and maintaining a robust quality assurance process for testing Clearinghouse applications. The Test Designer I will be working in an Agile/Scrum environment where the focus is on the teamwork and ownership of each project. The ideal candidate will create and maintain manual and automated tests within the Clearinghouse and will act as a quality advocate within their Scrum team and across the Clearinghouse to ensure QA standards and processes as necessary throughout the Agile SDLC.

How You Contribute:
Work with business partners, product management, and application development to ensure that developed applications and infrastructure changes meet Clearinghouse business needs and deliver business value.
Create and adjust test design strategies, test plans, and test data as needed to meet changing user requirement.
Verify software functionality based on the test strategy and test plans created.
Utilize various software testing methodologies to identify the decision points in the software.
Demonstrate NSC’s competencies, which align with our corporate
Core Competencies include: Customer Focus, Optimizes Work Processes, Collaborates, Communicates Effectively, and Be Open and Authentic.
Manager will provide more detail as needed.
Position may be required to perform other duties as required. These essential functions are representative of those that must be met by an employee to successfully perform the job. Reasonable accommodations will be made to enable individuals with disabilities to perform these essential functions.

What You Bring to the Table:
Bachelor’s degree or some equivalent combination of education and experience, including through military service will also be considered.
Proficient in software testing/quality assurance, typically acquired through 8-10 years of experience in a formal testing role.
5+ years of QA SDLC process experience, to include previous experience in test strategy and test plan creation.
2-4 years of experience in testing web-based applications.
2-4 years of experience SQL, with strong understanding of database structure and design, to include advanced SQL language query skills.
Demonstrated experience in:
Performing cross-browser compatibility testing.
API/web services testing.
Testing integrated 3rd party applications.
Working within an Agile/Scrum environment.
Experience in planning the implementation of automated test plans and automated testing using either open source or commercial test automation tools.
Knowledge of Database design and usage.
Demonstrated experience with testing data file and job processing on UNIX/Linux server applications.
Must live within a commutable distance of Pittsburgh, PA.
Additional Desired Requirements:
Experience utilizing tools such as Selenium IDE, Selenium Webdriver and API tools (e.g., Rest Assured).
Experience with SauceLabs or other cross browser testing tools.
Experience in testing EDI files and processes, preferably related to Post Secondary Electronic Standards Council (PESC) approved standards.
Experience in testing Business Intelligence tools including visualizations.
Ability to modify and maintain test frameworks via Java coding.
Physical Demands:

Use of a computer terminal and/or laptop computer for 8 or more hours a day.
Use of copy machine and telephone.
Frequently required to sit for 7 or more hours per day in close proximity to others in an open office environment.
Occasionally required to use hands and fingers to operate, handle, and reach.
Vision abilities include ability to close vision and the ability to adjust focus.
May be required to work during maintenance windows, provide on-call remote, or 24/7 technical support.
Must be able to travel occasionally via car, train, and airplane to remote data center locations, as needed",3.1,"National Student Clearinghouse
3.1","Pittsburgh, PA","Herndon, VA",201 to 500 employees,1993,Nonprofit Organization,Colleges & Universities,Education,$25 to $50 million (USD),"Ellucian, Parchment, College Board"
280,Web Designer/WordPress Developer,$28K-$54K (Glassdoor est.),"First Orion is a leader in the call protection, call identification, and call management industries, focusing on data-driven call transparency across the entire calling experience. We develop world-class data and technology solutions that help our business partners increase customer satisfaction, reduce risk associated with fraud and compliance, and yield more profitable calling solutions. Our applications and in-network services provide call and text blocking, spam and robocall tagging/blocking, call enhancement, caller identification, caller categorization, directory assistance, and complaint filing with regulatory agencies in the US and abroad. First Orion protects and enhances the call experience for millions of consumers, provides solutions to some of the largest mobile service providers in the world, and features leading brands in the communication industry (including PrivacyStar) with headquarters in Little Rock, Arkansas and offices in Bellevue, WA, London, England, and Dubai, UAE.

We are seeking a Mid-Sr. Level Web Designer/WordPress Developer who will report into the CMO with guidance from Creative, Product, Demand Gen, Sales and the Communications teams. In this position, you will work as an integral part of our Marketing team to redesign and build a compelling website along with projects ranging in size and scope to support the First Orion marketing organization. You will contribute to a wide range of projects from creative to lead gen to sales and will own all stages of website design, development, testing, implementation, and maintenance. If you have tested and launched many landing pages, emails, events, eBooks, and social media campaigns this position is the perfect position for you!

Responsibilities:
Help re-design, modify and maintain corporate website using WordPress themes, templates, and writing code from scratch (PHP, HTML, CSS, JavaScript), as necessary
Develop new web pages using prototyping tools such as Photoshop, Sketch, or InVision
Provide timeline estimates for new projects with defined scope
Set-up and manage both staging and production environments
Create graphics to be used across a variety marketing campaigns and programs – email, eBooks, whitepapers, ads, events, collateral, PPTs, etc.
Develop landing pages and customer journeys to support marketing campaigns
Integrate from and to various third-party applications including Marketo, SalesForce, Google Analytics, digital ad platforms, and other marketing related tools/APIs
Other design and creative duties as needed/requested
Quickly execute assigned tasks and convert them into best practices with documentation
Continuously learn new technologies and techniques
Required Skills:
Extensive knowledge with 5+ years modifying existing WordPress theme templates (support, extend and/or enhance existing code)
5+ years' experience designing, implementing, and maintaining websites using WordPress
5+ years' experience with HTML5, & CSS3, JavaScript, JQuery, PHP
B2B experience
Deep understanding of device compatibility and cross-browser testing
Demonstrated understanding of UX/UI concepts
Strong design sense with an online portfolio
Full cycle experience designing UX prototypes and UI through execution
Design and development for desktop and mobile responsive design
Proficiency with creating and modifying custom theme files and child themes
Adobe Creative Suite including Photoshop and Illustrator
Demonstrated knowledge of key metrics for effective ROI analysis
A/B design testing
Research usability, usage scenarios and mockup finding
Non-technical skills (design, color psychology, typography)
Self-starter who can work independently but also works well as a team
Desire to work in a fast-paced entrepreneurial environment
Bachelor of Arts or equivalent degree with career path
Nice to Have Skills:
Experience with Marketo or other email automation systems
Experience with SalesForce or other CMS systems
Knowledge of SEO optimization, social media, and online content strategies
Our work environment is energetic, focused, fun, and collaborative. We've created a special culture where trust and transparency are the key and employees are empowered to make their own decisions. Our people are passionate about what we do and have an indomitable spirit to get things done. Everyone is a part of the big picture here.

First Orion Voted Great Place to Work US with Top Rankings in every category! Check out the full spread here: http://ow.ly/a731303vHps

First Orion is an Affirmative Action and Equal Opportunity Employer. Apply today!

At this time we are not able to sponsor visas, such as H-1B, for this particular position, Front-End WordPress Web Developer and Designer. First Orion is interested in every qualified candidate who is eligible to work in the United States.. First Orion's immigration sponsorship policy is applied in a nondiscriminatory fashion regardless of race, gender, ethnic origin, or any other classification protected by law. First Orion is an equal opportunity employer.",4.8,"First Orion
4.8","North Little Rock, AR","North Little Rock, AR",201 to 500 employees,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
281,Sales Designer,$28K-$54K (Glassdoor est.),"Solar Innovations is an Equal Opportunity Employer (Minorities/Females/Disabled/Veterans). To read more about this, view the EEO is the Law poster and this EEO is the Law Poster Supplement

Start Over with Job Search

Returning Applicant? Login Now

Thank you for your interest in a position with our team. Updates regarding your application will be sent to the email you provided. Please remember to check your junk email folder to ensure you have not missed any communication from our team. Should you find an email in your Junk Email folder from us please forward the email to employment@solarinnovations.com, so we may work to reduce these instances. Thank you!

Sales Designer

Job Code: SALES INSIDE DES

Exempt-Non Exempt:
FT/PT Status: Full Time
Schedule: Monday through Friday, 8:00am to 4:30pm

Job Responsibilities:
• Develop a loyal customer base by contacting new leads, following-up on quotes and literature requests, and discussing projects with new and existing customers.
• Serve as a product expert for potential clients with a positive, professional attitude.
• Provide technical advice as needed to facilitate the design process between potential customers and the SI team.
• Liaison with multiple departments to ensure potential clients receive appropriate product information either generally or specific to their project in a timely manner.
• Interact with architects, glaziers, and homeowners to ensure that all information received is accurate and complete to facilitate proper quoting by the Estimating Department.
• Ensure proper tracking of customer information in corporate ERP (Environmental Resource Planning) system including contact information, record of communication, requested literature, etc.

Job Qualifications:
• Strong attention to detail and excellent communication skills, both written and oral, are required
• Excellent customer service skills required
• 2 - 5 years of related experience required
• Ability to handle stress, deadlines, and sales goals a must
• Advanced experience with Microsoft Office Suite including Excel and Word required
• Associates or Bachelors Degree in related field is preferred (applicable backgrounds include but are not limited to: Drafting, Architectural Design, Interior Design, Construction Disciplines, General Sales, Communications, Business, and Related Disciplines)
• Experience with AutoCAD, Blueprint and/or Specification Reading required
• Experience in glazing industry, possessing an architectural background, or experience with construction preferred

Ideal candidates for the Architectural Sales position will have the ability to read plans, experience with shop drawings, and a background in the construction field; however, if you are organized and have experience selling products (in an office environment), we can teach the architectural functions to the right candidate. We are accepting applications for various levels of positions.",2.8,"Solar Innovations
2.8","Pine Grove, PA","Pine Grove, PA",51 to 200 employees,1998,Company - Private,Industrial Manufacturing,Manufacturing,$25 to $50 million (USD),-1
282,Sr. Product Designer,$28K-$54K (Glassdoor est.),"LOCATION: Santa Monica, CA
TITLE: Sr. Product Designer
REPORTS TO: VP, Product Management

As one of healthcare's most widely adopted messaging platforms, the TigerConnect product fosters communication and workflow optimization within the clinical space, uniquely modernizing care coordination among doctors, nurses, care teams, and patients. TigerConnect is seeking an exceptional Sr. Product Designer to lead product design across our web and mobile products. This experienced designer will be a key player in helping us maintain and advance the user experience we are widely recognized for.

This Sr. Designer should be a UX enthusiast and responsible for collaborating with product and engineering partners to design products that are intuitive and delightful to our customers. This individual should be an excellent communicator, have high attention to detail, and is fluent with the latest design language/guidelines. Here at TigerConnect we value creative, self-driven individuals who truly care about the work they produce and the people they work with, come join us!

What You'll Own:
Design intuitive, elegant, yet simple experiences with user personas and functional requirements in mind.
Collaborate with product managers, engineers, and other cross functional teams to plan and execute on designs based on team feedback, customer feedback and data driven research.
Own multiple projects at different phases from inception to completion.
Own UX and persona research and translate into actionable improvements.
Own UI/UX roadmap to continuously advance the product.
Subject matter expert on latest design language/guidelines/patterns.
Subject matter expert on latest design tools/process/system.
What You've Accomplished:
5+ years of product design experience, designing web and mobile apps (experience at a high-tech, product-driven SaaS/software company preferred)
BA/BS degree in Design or related degree/certifications.
An extensive portfolio, showcasing a foundation in user interaction, visual interface, typography, and responsive design. Please include it with your application
What You'll Bring to the Table:
Excellent written, verbal and visual communication skills to articulate concepts, feedback and rationale.
Proficiency in one or more of these tools (Figma, Sketch, Adobe Suite (XD), Invision, Zeppelin, Overflow) is preferred.
Extensive knowledge of native iOS and Android design (iOS Human Interface Guidelines and Google Material Design)
Experience with user research, user needs evaluation, and developing user-driven solutions.
Familiarity with HCI (Human Centered Design) is a plus.
High level of attention to detail.
Critical problem solving skills; able to think strategically, logically, and articulate your solutions.
Who We Are:

TigerConnect is healthcare's most widely adopted communication platform uniquely modernizing care collaboration among doctors, nurses, care teams, and patients. TigerConnect is the only solution that combines a consumer-like user experience for both clinical and patient communication with serious security, privacy, and clinical workflow requirements that today's healthcare organizations demand. TigerConnect accelerates productivity, reduces costs, and improves patient outcomes.

Trusted by more than 6,000 healthcare organizations, TigerConnect maintains 99.99% verifiable uptime and processes more than 10 million messages each day.

It is recognized as a top Cyber Security Company to Know, one of the 5 Sizzling Silicon Beach Startups to Watch by Entrepreneur, Best Tech Startups in Santa Monica (2019 & 2020) and a Best Places to Work in Healthcare 5 years in a row (2015, 2016, 2017, 2018, and 2019). TigerConnect currently has over 150 employees with offices in Santa Monica, San Jose, and Shanghai.

Why We're Different:
Prime office space in the major tech ecosystems of California - Silicon Beach and Silicon Valley - each complete with a loaded fridge and tons of other perks (think rock climbing wall, food trucks, yoga, happy hours & more)
An opportunity to work closely with a proven executive team, board, and serial entrepreneurs (www.tigerconnect.com/about)
A fun environment that embraces a ""work hard-play hard"" culture
We have team members that love what they do and are willing to go the extra mile to help clients, support the company's rapid growth, and ultimately optimize healthcare workflows
This is a full time opportunity with a competitive salary, medical benefits, and 401K matching plan
TigerConnect is an Equal Opportunity Employer.

*Recruiting firms that submit resumes to TigerConnect without first entering into a written contract with TigerConnect will not be entitled to any compensation on candidates referred by that firm.",4.3,"TigerConnect
4.3","Santa Monica, CA","Santa Monica, CA",51 to 200 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),-1
283,Product Designer,$58K-$74K (Glassdoor est.),"Company Industry: Technology
Opportunity: The Mom Project is helping to source candidates for the above client who is looking for a Product Designer
Commitment Level: 40 hours per week, onsite, on-site, contract through August 2020


Our Customer’s mission is to give people the power to build community and bring the world closer together. Through their family of apps and services, they are building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together.

We are seeking a Product Designer on a contract basis to support their Social Design Team. you will be involved in every aspect of the product development process, from brainstorming the next great product innovation to tweaking pixels right before launch. You will help us design new ways for people to connect and share using the unique qualities of this immediate and immersive new medium.

We are looking for an experienced and talented Product Designer to conceptualize, illustrate, build and deliver innovative interaction paradigms for social experiences for our emerging products. You will be expected to independently sketch, design, prototype and execute.

What You’ll Do:
• Conceptualize and iterate on high-quality designs
• Contribute to high-level strategic decisions with the rest of the product and executive teams
• Document processes and methodology
• Contribute to defining interaction patterns
• Collaborate with PMs, engineers, art team, researchers and content strategists to oversee the user experience of a product from conception until launch (and then some)
• Give and solicit feedback from other designers in order to continually raise our bar for quality

Must Haves:
• Experience crafting web or mobile interactive design prototypes
• Experience using design software like Sketch
• Excellent communication skills
• Experience designing for diverse groups of people
• A positive and collaborative attitude
• A self-motivated problem solver
*Must include a link to portfolio featuring examples of web or mobile interaction design work for consideration

Education:
Bachelor's degree in Interactive Design, UX, or a related field or experience.

Hours & Location:
M-F, 40 hours/week. This position is located onsite at our Customer’s Menlo Park location.

Now for the Perks!
● Health Benefits: Medical, Dental, Vision, Life (including spouse & child), 401k, STD/LTD, AD&D, and Commuter Benefits program)
● Accrued PTO: Up to 15 days per 12 months on assignment
● New Child Benefit: Up to $4,000 for the birth or adoption of a child while on assignment (conditions apply)",4.9,"The Mom Project
4.9","Menlo Park, CA","Chicago, IL",1 to 50 employees,2016,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1
284,Visual Designer,$58K-$74K (Glassdoor est.),"MetroStar Systems is looking for a Visual Designer to create modern, responsive user interfaces that inspire interaction. The Visual Designer should possess an intuitive feeling for the way digital products look, function, and how people want to interact with them. If you want to join a company that values those that are fearless about making technology engaging and are open to commuting to Rockville, MD., we want you to work for MetroStar!

Our Digital Team is responsible for crafting experiences that solve client’s goals through alignment with users and business needs. We architect their experience through research, design, code, and collaboration. Come be a game changer and join our team!

You're a great fit if:
You fearlessly work with clients, users, and team members to build the best products possible
You are disciplined in branding and design experience for responsive web, typography, color theory, and have an eye for modern design
You understand digital design is fluid, flexible, and adaptive for Web design UI
You’re passionate about creating modern, usable, and inspiring interfaces
You own your work and have excellent communication and collaboration skills
You'll love our if: (This is the stuff you MUST have to be a fit)
You use Sketch, InVision, and Adobe Creative Suite to create design systems, illustrations and user interfaces
You have knowledge of component based design principles and design patterns to create reusable a design system and pattern libraries
You have 4+ years of experience creating modern responsive user interfaces across platforms and devices
You have experience working collaboratively with a cross-functional team in and Agile environment
You having working knowledge or accessibility and 508 compliance
You have a Bachelor’s Degree in Design or similar concentration
What your day will look like:
You'll work with an open and motivated team creating digital experiences that solve client missions
You’ll collaborate across team members and stakeholders to create design solutions
You will own the Interface and Interaction Design tasks
You will play and active role in the Agile process and presenting your ideas an recommendations
The Admin Stuff: Applicants selected may be subject to a government security investigation and must meet eligibility requirements for potential access to classified information. Accordingly, US Citizenship is required

The Legal Stuff: MetroStar Systems is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. The statements herein are intended to describe the general nature and level of work being performed by employees, and are not to be construed as an exhaustive list of responsibilities, duties, and skills required of personnel so classified. Furthermore, they do not establish a contract for employment and are subject to change at the discretion of MetroStar Systems.",3.4,"MetroStar Systems
3.4","Reston, VA","Reston, VA",201 to 500 employees,1999,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1
285,Motion Graphics Designer,$58K-$74K (Glassdoor est.),"About Route

Route is a one-click premium shopping experience for online ordering, and the only way to view all of your online orders, from any merchant, in one place. Online shoppers can insure and visually track everything they order online in one centralized app. E-commerce merchants from boutique brands to household names can add Route to their website empowering one-click solutions for their customers for shipping insurance, visual package tracking, and one-click claim handling. With offices in both Silicon Slopes, Utah (HQ) and Santa Monica, California, Route embodies a creative lifestyle partnered with innovative tech to build a one of a kind global brand.

About the Role

Route is looking for a Motion Graphics Designer to join our team and focus on crafting sophisticated animations for consumer-facing performance marketing and email campaigns. Your involvement is critical in all phases of the design process, including concept development, storyboarding, animation, graphic design, and production. Creatives will span a variety of mediums and types, including animated ads, social videos, product demos, & static assets.
You will act as both a hands-on producer and a strategic, conceptual leader on each project.
Collaborate with the Growth Team on a range of design and animation deliverables, ensuring all graphic elements and layouts follow Route's design standards.
Contribute to the creative direction of new product launches and planned marketing initiatives
Design and edit video pieces that strongly communicate product goals and concepts
Deliver high-quality assets in multiple formats depending on creative briefs.
Manage deadlines and execute creatives on-time and on-task
QA and review of final output and source files
Act as a technical/tactical resource for the creative teams
Assist and guide other Designers in their professional development; foster innovation in the Performance Design team.
Who You Are
You have an incredible eye for detail and mastery of Cinema 4D, After Effects, and Adobe CS.
You are a curious person and a strategic thinker.
You're able to quickly understand the business and identify potential creative opportunities.
You have a test-first mentality, and understand the ins and outs of A / B testing creative and doubling down on winning concepts.
You're able to work effectively with others in a collaborative team environment.
Can work independently with minimal supervision
Stay current with production tool and technology advancements
A versatile player. You add value at ground zero and 30,000 feet.
Communicator. You understand the power of storytelling.
Gritty. You understand that your experience is valuable and can blend intuition with data to explore new concepts.
What You Need
BA in Motion, Graphic Design, or a related field.
4-6 years of experience as a Motion Designer for consumer products or consumer-oriented marketing campaigns.
A reel/portfolio of commercial work demonstrating an exceptional design and narrative aesthetic produced for client-oriented projects.
Proficient in Cinema 4D, Octane, After Effects, and Adobe Creative Suite.
Experience as a motion artist with an agency or product technology company.
Exceptional portfolio, showcasing sophisticated animation, concept, strong visual design, color, layout, and typography.
Ability to generate a diverse array of designs and animations in response to a design brief.
Comfortable working in a large variety of styles.
Ability to multi-task and work effectively under pressure with careful attention to detail.
Benefits:

Route offers an array of benefits including generous salaries, stock options, 100% healthcare coverage, and an unlimited PTO policy.

Route is an Equal Opportunity Employer. We embrace diversity and equal opportunity in a serious way. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills. The more inclusive we are, the better our work will be.",4.5,"Route
4.5","Santa Monica, CA","Lehi, UT",51 to 200 employees,2018,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Narvar
