Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,job_simp,company_txt,Seniority,Minimum Estimate,Maximum Estimate,City,State,BS Required,AvgSalary,same_state,company_age,python_yn,java_yn,javascript_yn,c/c++_yn,html/css_yn
Software Engineer,$48K-$102K (Glassdoor est.),"Quick apply »



Software Engineer

Functional area:

Engineering

Country:

United States

City:

Export

Company name:

Leybold USA Inc

Date of posting:

May 7, 2020

The Role
Assist the Project Engineers in the development of software interfaces for vacuum pumping systems and electrical control panels.

Responsibilities:
Develop PLC programming logic and control sequencing for vacuum systems equipment using Allen-Bradley RSLogix 500/5000, and other software platforms
Knowledge and experience with 3-phase motor control and circuitry
Program process visualization software for operator interface control
Integrate controls into a number of field bus and Industrial Ethernet networks including those with Profibus, EtherNet/IP, and RS-232/RS-485 serial communication
Familiarization and understaning of BOMs and electrical layout drawings pertaining to the manufacture of vacuum systems
Assist sales and project engineers to specify equipment and provide support to the sales and marketing team
Field troubleshooting and commissioning of systems
Implement required changes to resolve manufacturing and field problems to improve product performance and reliability
What you can expect from us?

Excellent working conditions & benefits
Part of the Atlas Copco Group with a wide-reaching internal job market
You can grow with us: we always look for internal candidates before checking the market and have training and development programs
We have a friendly, family-like atmosphere – and that is not just a claim on the wall, it’s a true fact
You can be creative and promote your own ideas
Every day brings new challenges and new things to learn
Equal Opportunity Employer / Affirmative Action Employer – M/F/D/V

What we expect of you?

Technical competence

Teamwork

Problem solving

Customer focused

City

Export, PA

About Leybold

Leybold employs people on four continents. Many of them have a scientific or technical focus. Their knowledge, creativity and experience are essential for our success.

The demands of the high-tech industry and the cultural diversity in our globally active company also contributes to an attractive and stimulating working environment at Leybold. Technical knowledge is important to us, as are personal soft skills and the willingness to work in international project teams.

Leybold is part of the Vacuum Technique Business area of the Atlas Copco Group. The Group's sustainable approach also determines our visions and values. A wide range of training and further education programs are available, to enhance technical know-how and systematically expand skills. Because only great ideas accelerate innovation.",3.9,"Leybold USA Inc
3.9","Export, PA","Uzwil, Switzerland",10000+ employees,1860,Company - Private,Miscellaneous Manufacturing,Manufacturing,$5 to $10 billion (USD),Unknown,Reg,"Leybold USA Inc
",unspecified,48,102,Export, PA,no,75.0,No,160,No,No,No,No,No
"Software Engineer, Technical Delivery",$48K-$102K (Glassdoor est.),"About us

National Grid is hiring a Software Engineer for our Digital Department in Waltham, MA.

Every day we deliver safe and secure energy to homes, communities, and businesses. We are there when people need us the most. We connect people to the energy they need for the lives they live. The pace of change in society and our industry is accelerating and our expertise and track record puts us in an unparalleled position to shape the sustainable future of our industry.

To be successful we must anticipate the needs of our customers, reducing the cost of energy delivery today and pioneering the flexible energy systems of tomorrow. This requires us to deliver on our promises and always look for new opportunities to grow, both ourselves and our business.
Job Purpose

National Grid is building a new team, ngDigital, to provide best-in-class digital delivery from two

regional hubs that execute in a fast, agile manner against strategic priorities. In addition to creating digital products, the ngDigital hubs are talent incubators that disseminate digital capabilities and culture within National Grid.

As a developer on digital technology, you play a vital role in developing our products. You will be involved in the product development process from ideation to launch, working closely with Product managers, UI/UX designers and other developer to deliver the best digital experience for our users. You will actively contribute to the success of the team by leading technical discussion and generating new ideas that will iteratively enhance the quality of the product.
Key Accountabilities

Contribute to the development of first functioning prototypes
Create and execute tests for software being developed within the NG Digital Team
Front and Back-end engineering and potential integration with existing enterprise systems
Collaborate with business and technical staff on the development of digital products
Contribute to the Development and implementation of IT standards and procedures within the NG Digital Team
Ensure that all software developed within the ng Digital team satisfies the business requirements as specified.
Actively contribute to the process of continual improvement, with regard to self, team and system
Write well designed, testable, efficient code
Produce to specifications and determine operational feasibility
Integrate software components into a fully functional software system
Develop software verification plans and quality assurance procedures
Qualifications

Bachelor's degree in computer science, engineering or equivalent.
Knowledge of the energy industry and electrical engineering principles not necessary, but preferred
Industry experience as a computer software engineer or software developer with hands-on experience in designing interactive applications and Microsoft MCSA/MCSD qualification
Ability to develop software in C, C++, C#, Java, JavaScript, React, Ruby or other selected languages
Experience in Relational Databases, SQL, ORM technologies (JPA2, Hibernate), Jenkins, Gradle, Ubuild, Udeploy, SVN, GitHub, Artifactory, SonarQube, MSBuild, Unix, Linux, Shell Scripting and Perl Scripting Experience in developing web applications using at least one popular web framework (JSF, Wicket, GWT, Spring MVC)
Familiarity with Model View Controller (MVC) design patterns, Object-Oriented Programming (OOP) and development best practices
More Information

This position has a career path which provides for advancement opportunities within and across bands as you develop and evolve in the position; gaining experience, expertise and acquiring and applying technical skills. Internal candidates will be assessed and provided offers against the minimum qualifications of this role and their individual experience.

National Grid is an equal opportunity employer that values a broad diversity of talent, knowledge, experience and expertise. We foster a culture of inclusion that drives employee engagement to deliver superior performance to the communities we serve. National Grid is proud to be an affirmative action employer. We encourage minorities, women, individuals with disabilities and protected veterans to join the National Grid team.",3.5,"National Grid USA
3.5","Waltham, MA","Waltham, MA",10000+ employees,1990,Company - Public,Utilities,"Oil, Gas, Energy & Utilities",$5 to $10 billion (USD),Northeast Utilities,Reg,"National Grid USA
",unspecified,48,102,Waltham, MA,yes,75.0,Yes,30,No,Yes,Yes,Yes,No
Software Engineer,$66K-$110K(Employer est.),"COMPANY SUMMARY

Since 1992, Kingland's managed solutions have helped data-intensive, highly-regulated clients connect and protect their businesses. Kingland develops and manages enterprise-class software solutions using its Kingland Platform and teams of data and technology experts. Clients in the banking and capital markets, public accounting, insurance, and retail industries look to Kingland to create solutions to manage data, risk, compliance, customer insight and more. The Kingland Platform is a highly secure, cloud-optimized software platform that includes enterprise data management, text analytics, artificial intelligence and machine learning, and workflow and compliance management capabilities.

Kingland is unique. While we are based in Iowa, our clients are not. We are an Iowa company with a significant global reach. We provide our employees with the opportunity to ""live locally and work globally"", combining the Iowa quality of life that we all love, with exciting opportunities to travel the world and work on large projects for large clients.

Kingland is growing. We’re looking for individuals who like to tackle big challenges, want to work on mission-critical solutions, as well as desire to make a difference in the world — and be rewarded for their efforts. Explore all the ways that quality of work meets quality of life at Kingland, and launch yourself on an exciting new adventure.

POSITION SUMMARY

Java. Spring. Angular. Python. PostgreSQL. AI tech. AWS. These are just a few of the technologies you'll use as a Kingland Software Engineer. Work with clients to better understand their complex and challenging problems. Design solutions using relational and columnar data stores, microservices and cloud architectures, text analytics, and more. Your work will help reinvent the way companies manage risk, compliance, and data.

If you're curious about how technology should work and enjoy solving problems, this is the right space for you. Use your creativity, share your point of view with clients and colleagues, and have enough grit to see the project to its end. It's like a puzzle. You know there are multiple ways to solve it. Every tool will be at your disposal. And you'll be able to test your ideas with experienced professionals in the organization.

MAJOR RESPONSIBILITIES AND DUTIES
Develop highly secure, performant and maintainable code based on software designs for Kingland Platform solutions
Leverage automated build and deploy processes to create and execute integration tests
Identify, fix and communicate defects throughout the software engineering process
Collaborate with teammates and clients, from requirements review and design to implementation, testing, deployment and triage
Grow into a role with responsibilities for creating innovative software designs and accompanying prototypes for Kingland Platform solution requirements, enabling further implementation
POSITION REQUIREMENTS
Bachelor’s degree and requisite experience in Computer Science, Software Engineering or Computer Engineering is required
BENEFITS
Included in the Kingland Career Development Program – a guided program consisting of targeted learning opportunities and mentorship to assist you in career growth, personal development and opportunity for promotion and advancement at Kingland Systems.
Generous vacation and paid holidays
401(k) company match
8 hours of paid volunteer time annually
3 weeks paid parental leave after the birth or adoption of a child
Wellness reimbursement for gym memberships, equipment, and apparel
Access to free on-site fitness center in Clear Lake location
Company match of up to $1,000 annually for charitable donations
Free on-site covered parking
Access to company dining facility in Clear Lake location",3.6,"Kingland Systems
3.6","Clear Lake, IA","Clear Lake, IA",201 to 500 employees,1992,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),Unknown,Reg,"Kingland Systems
",unspecified,66,110,Clear Lake, IA,yes,88.0,Yes,28,Yes,Yes,No,No,No
Software Engineer,$66K-$110K(Employer est.),"Position Location: Fort Meade, MD
Home office Location: Linthicum, MD

All applicants must be a US citizen and have an active TS/SCI within the past 2 years.
Elder Research Inc. is a recognized leader in predictive analytics and machine learning. We pride ourselves in our ability to find creative, cutting edge solutions to real-world problems. We are looking for innovative and inquisitive self-starters who enjoy translating complex models into actionable solutions that deliver real value for our clients. We have multiple openings in the Baltimore-Washington Metropolitan area for Software Engineers to support our Defense & Intelligence business.
As a Software Engineer in the Defense & Intelligence Business Unit, you will join a functional team of accomplished Data Scientists and Software Engineers that delivers data science solutions to address the toughest national security challenges. You will work closely with data scientists, business consultants, other software engineers, and the system users to create and deploy applications that help the customer make actionable, data-driven decisions. Candidates should have the ability and the willingness to tailor applications to a client’s specific business goals using an iterative methodology.
The Software Engineer designs, develops, tests, deploys, documents, maintains and enhances complex and diverse software systems based upon documented requirements. These systems might include, but are not limited to, processing, intensive analytics, novel algorithm development, manipulation of extremely large data sets, and real-time systems.
Required Qualifications
At least 3 years of technical experience working with data and deploying analytical solutions.
BS in Computer Science or related field, or equivalent experience. (Master’s degree and Phd’s preferred)
All applicants for cleared contracts must be a US citizen and have an active TS/SCI within the past 2 years.
Software development experience, Java or Scala preferred
Experience with ELK (ElasticSearch, Logstash, Kibana) stack, and NiFi
Software development using languages such a C++, Python, Ruby, Perl, Javascript is a plus.
Experience with Agile Development processes
Experience developing and implementing algorithms to meet or exceed system performance and functional standards
Excellent written and verbal communication skills to evaluate and describe complex technical solutions for management, non-technical users and team members
Experience in any of the following areas preferred: Data Visualization, User Experience Design and Implementation, Data Structures, Database Administration and Manipulation, DevOps (Infrastructure, Continuous Integration and Automation, Packaging and Deployment), Operationalizing Algorithms, Web Development, Cloud Platforms and SaaS, Scientific Computing, Storage and Retrieval
About Elder Research, Inc.
Elder Research is a fast growing consulting firm specializing in predictive analytics. Elder Research has been in the data science business over 20 years providing analytic solutions to hundreds of companies and organizations across numerous industries. At Elder Research, you’ll be part of a fun, friendly community. In keeping with our entrepreneurial spirit, we want candidates that are self-motivated with an innate curiosity and strong team work ethic. We work hard to provide the best value to our clients and allow each person to contribute their ideas and put their skills to use immediately.
Achieving success on defense, intelligence and security projects requires a data science team with broad experience, critical thinking, a proven ability to solve complex problems, and the ability to effectively communicate results. Our team relies on well-trained technical personnel who have experience with tools, algorithms, best practices, and custom software development to navigate the frontier of unsolved problems we typically encounter. Our team enjoys great variety in the type of work they do and exposure to a wide range of analytic techniques and tools.
Elder Research, Inc. is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against on the basis of disability.",3.8,"Elder Research
3.8","Fort Meade, MD","Charlottesville, VA",51 to 200 employees,1995,Company - Private,Consulting,Business Services,$5 to $10 million (USD),Unknown,Reg,"Elder Research
",unspecified,66,110,Fort Meade, MD,no,88.0,No,25,Yes,Yes,Yes,Yes,No
Software Engineer,$66K-$110K(Employer est.),"The Opportunity

Want to work for a company where you can have a genuine impact, be passionate about what you do, and work with a great team of people? At FastSpring, we work hard while keeping a fun, collaborative, and casual atmosphere. Headquartered in downtown Santa Barbara, our offices are just a few minutes from great restaurants, shops and the beach. If you're highly driven and want to work at an exciting, fast-growing e-commerce and subscription management SaaS company, consider joining the FastSpring team. We offer a dynamic work environment, competitive compensation, equity, growth opportunities, benefits and more for the right candidate. Watch the video >

The Position

FastSpring is looking for a Software Engineer to join a growing team at its headquarters in Santa Barbara, CA. The Software Engineer will be responsible for developing incremental changes, bug fixes and larger features for FastSprings SaaS ecommerce platform, which serves the store-front, payment, digital fulfillment, and post-order needs of digital retailers worldwide.

Responsibilities
Develop and test new features, incremental changes, and bug fixes to a production-ready state using agile development processes
Contribute to architectural designs
Define and implement automated tests for new development
Participate in code review process
Develop skills with new technologies
Qualifications
3+ years Java / JavaScript / node experience
HTML / CSS / JavaScript / JQuery / Angular experience
2+ years AWS experience, including EC2, S3, RDS, DynamoDB; experience with Lambda and Redshift is a plus
3+ years experience developing software services using RESTful APIs
Ability to automate tasks through scripting
Understanding of agile development processes
Bachelors degree in Computer Science or equivalent experience
About the Company

Founded in 2005 and with thousands of customers worldwide, FastSpring powers the digital economy with a cloud-based e-commerce & subscription management platform that helps software & SaaS companies monetize their products and services onlineworldwide. FastSpring provides an end-to-end payment processing, merchandising & fulfillment solution for companies that sell desktop software, SaaS, video games, e-books and other digital products.

FastSpring is an EQUAL EMPLOYMENT OPPORTUNITY/AFFIRMATIVE ACTION employer. Candidates are considered for employment with FastSpring without regard to their race, color, religion, national origin, age, sex, gender, pregnancy, disability, sexual orientation, gender identity, genetic information, military status, veteran status (specifically status as a disabled veteran, special disabled veteran, Vietnam Era veteran, recently separated veteran, armed forces service medal veteran, or other protected veteran) or other classification protected by applicable federal, state or local law.

Powered by JazzHR",4.8,"FastSpring
4.8","Santa Barbara, CA","Santa Barbara, CA",51 to 200 employees,2005,Company - Private,Internet,Information Technology,$25 to $50 million (USD),Unknown,Reg,"FastSpring
",unspecified,66,110,Santa Barbara, CA,yes,88.0,Yes,15,No,Yes,Yes,No,Yes
Software Engineer,$66K-$110K(Employer est.),"The customer journey starts with a question. And consumers expect answers. Yext puts businesses in control of their facts online with brand-verified answers in search. By serving accurate, consistent, brand-verified answers to consumer questions, Yext delivers authoritative information straight from the source — the business itself — no matter where or how customers are searching. Taco Bell, Marriott, Jaguar Land Rover, and businesses around the globe use the Yext platform to capture consumer intent and drive digital discovery, engagement, and revenue — all from a single source of truth. Yext's mission is to provide perfect answers everywhere.

The Consulting Group works with Yext's largest clients to deliver highly customized and integrated products! Our team includes Project Management, Creative, and Software Engineering resources that work together to deliver end-to-end solutions. We take pride in our ability to tackle a wide breadth and depth of challenges and keep pace with the ever-changing needs of our clients. We are looking for Consulting Software Engineers to help us build custom web and backend solutions for our enterprise clients. Our team features a Scrum development process with one-week sprints, peer code reviews and individual ownership of projects from kickoff to delivery. You will work alongside engineers from the top universities and tech companies in the world, hands-on with the code from day one.

Responsibilities
Build, modify and maintain web applications with HTML/CSS/Javascript, ensuring compatibility across multiple browsers and platforms
Advise engineering & business stakeholders on best practices, compatibility issues and tradeoffs
Augment development tooling to improve software quality, iteration speed, and maintainability using modern technologies like Grunt, Webpack, SASS, and more
Bridge the gap between engineering and product, working equally well with Designers and Project Management
Write clean, tested, and well-structured code
Minimum Requirements
BS or above in Computer Science, a related field, or similar college level education
Comfortable with a variety of frontend technologies: HTML, CSS, and JavaScript
Ability to easily move between backend and frontend technologies
Openness to new technologies and creative solutions
Comfortable working within a fast-paced high growth startup environment
Preferred Requirements
Familiarity with node.js, Go and Java
Contribution to open source projects
Compensation, Benefits & Perks

Yext offers the following exceptional benefits: competitive compensation, 401k, unlimited snacks, daily meal allowance, flexible hours/paid time off, and excellent health/dental/vision insurance. We treat our employees well and offer tremendous growth opportunities. Challenging work pushes our people to be creative in a casual environment that is caring, fun, and collaborative. We believe that when you have smart, happy people working together you can produce something special.

About

Yext has been named a Best Place to Work by Fortune and Great Place to Work®, as well as a Best Workplace for Women. Yext is headquartered in New York City with offices in Amsterdam, Berlin, Chicago, Dallas, Geneva, London, Miami, Milan, Paris, San Francisco, Shanghai, Tokyo and the Washington, D.C. area.

Yext is proud to be an equal opportunity workplace. We are committed to equal employment opportunity regardless of race, color, ethnicity, religion, creed, national origin, ancestry, genetics, sex, pregnancy or childbirth, sexual orientation, gender (including gender identity or nonbinary or nonconformity and/or status as a trans individual), age, physical or mental disability, citizenship, marital, parental and/or familial status, past, current or prospective service in the uniformed services, or any characteristic protected under applicable law. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you have a disability or special need that requires accommodation, please let us know.

#LI-TN1",4.2,"Yext
4.2","Washington, DC","New York, NY",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,$100 to $500 million (USD),Unknown,Reg,"Yext
",unspecified,66,110,Washington, DC,no,88.0,No,14,No,Yes,Yes,No,Yes
Javascript Software Developer,$66K-$110K(Employer est.),"Workboard is a category leader in Active Strategy Management. Our breakthrough SaaS solution helps companies iterate on strategy at market speed and rapidly engage people in achieving strategic priorities.

Our product team is composed of product managers, data analysts, UI designers, and full stack software engineers working together to create an elegant solution to one of most complex problems facing companies today. At Workboard we’re lean team, moving quickly and doing big things.

If you have extensive experience as a back-end engineer and in-depth knowledge of all aspects of the LAMP stack (including
scalability and security), this could be an amazing opportunity!
You will work on:
• Architect and maintain distributed systems, focusing on reliability, security
and scalability.
• Identify key scaling/stability pain points and architect/implement solutions
• Put in place security best practices (XSS/SQL Injection prevention,
language-specific weaknesses….)
• Design and develop highly scalable APIs and services that are used by web
and mobile clients
• Work closely with the product team to design and implement UX flows
• Collaborate on the server side changes required for the UX flows.
• Provide leadership in areas of security and robustness against DDOS and
other attacks.
Qualifications:
• MS or BS in Computer Science or related engineering field
• 5+ years of full life-cycle product development experience
• Solid computer science fundamentals (data structures, algorithms, etc.)
• Advanced experience with object-oriented PHP
• Experience with REST based Web Services development
• Well-versed in network security, and application security
• Experience with Cloud services like AWS
• Experience working in an Agile/Scrum-like environment
• Strong Javascript, ReactJS and NodeJS
Perks & Benefits:
• Great team working with inspiration, speed and precision
• An equity piece of the great company we’re building
• Competitive benefits options
• Authentically diverse team and true meritocracy
• Of course, we use Workboard at work for high transparency, high velocity!
• Espresso and munchies, Monday breakfast and Friday lunch
• Flexible personal time (take what you need responsibly)",-1.0,Mobius Fit,"Redwood City, CA",Unknown,Unknown,-1,Unknown,Unknown,Unknown,Unknown,Unknown,Reg,Mobius Fit,unspecified,66,110,Redwood City, CA,no,88.0,No,-1,No,Yes,Yes,No,No
Software Engineer,$66K-$110K(Employer est.),"We’re looking for great engineers with diverse backgrounds. We need people that can fill hybrid roles with different emphases on the wide context of product development. We don’t have predefined positions: instead, we invite you to come talk to us about your skills, experience, ambitions, and dream role. We hope to find exceptional people to do exceptional work with us, and we believe it’s important that we define your role and path to our mutual growth together.
Reaktor is a hybrid partner for all things future. We reimagine businesses, and we design and build tomorrow’s digital products. Our full range of consultancy and agency services include expertise from high-level business consulting, to hands-on service and product design and development, to branding and marketing.
We believe in technology-agnostic product thinking, defined only by finding meaningful solutions to challenging problems. Your passion should be the same as ours: unmatched execution of those solutions. We structure, create, iterate, and reinvent, delivering tangible value faster than anyone in the world.
What we can offer you:
Hybrid, completely autonomous teams, filled with experts in everything from design, to data science, to business consulting, to content.
A community of amazing people who you will learn from and will learn from you.
Experimentation and continuous improvement of our skills and ways of working.
A dedication to constant evolution (and the occasional revolution).
A world without rigid hierarchy—big ideas can come from anyone and anywhere.
Endless fun!
What you’ll bring:
Exceptional technological competence.
Ability to make things, and to make things happen.
Compassion for people—both those around you, and those who will use what we build.
Drive to work on complex problems at any part of the project, from type system nuances to organizational dynamics.
A vision and commitment to the future of work: being truly lean and agile and human-centered, and leaving yesterday’s pointless rituals behind.
Readiness to be responsible for your work, development, and career path. Don’t worry: we’ll have your back in whatever you want to achieve, but the end goal is yours to define.
6+ years of real-world experience in building digital products and services.
Authorization to work in the United States.
Think Reaktor sounds like home? Great. Introduce yourself via our careers page.
We invite you to share details of any open source projects, your GitHub profile, and most importantly, your personality. Be original, not official.
We are an Equal Employment Opportunity (EEO) employer and do not discriminate on the basis of race, color, national origin, religion, gender, age, veteran status, political affiliation, sexual orientation, marital status or disability.",4.9,"Reaktor
4.9","New York, NY","Helsinki, Finland",501 to 1000 employees,2000,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),Unknown,Reg,"Reaktor
",unspecified,66,110,New York, NY,no,88.0,No,20,No,No,No,No,No
Software Engineer,$66K-$110K(Employer est.),"Overview


The person in this position writes real-time software in an exciting division of a large technology company. The software controls industrial food processing equipment including an x-ray/image-processing product with machine vision for image processing/object recognition. We have business initiatives in IoT and big data. Works in a small tight group where the responsibilities are broad and the expectations are high. We’re looking for a flexible, self-motivated candidate who can analyze problems, formulate and execute commercially successful solutions; interface well with customers and has plenty of common sense. The position embraces the Lean Enterprise strategy and adheres to all safety policies.

Responsibilities
Software design and layout on a multi-core, multi-threaded embedded Windows PC. Write system software and implement algorithms using C/C++ and third-party packages.
Support C# based HMI/GUI and create utilities as needed.
Support IoT development efforts
Software testing. Develop testing strategies using frameworks such as Python or Google Test. Build test harnesses
Occasional travel to customer sites, remote company facilities, etc. to troubleshoot and resolve application-related issues/problems.
Contacts other resources as needed to resolve issue/problem.
Works with Aftermarkets on any necessary ECR driven by issues identified in the field.
From time to time may trains customer in proper machine systems maintenance and operation of the entire Wolf-tec and X-ray product lines.
May create training aids for customers and fellow employees. Documents findings that improve quality and/or efficiency.
Takes training courses as required staying current with new technology and OSHA safety standards
Performs other duties as assigned.
Qualifications


Knowledge and Skills:

Bachelor’s or master’s degree in computer science or related technical field.

Ability to program C++/C# in a multi-threaded real-time environment

Experience coding signal/image processing algorithms.

Knowledge of PLC programming preferred.

Familiarity with unit testing frameworks is preferred.

Effective communicator in writing and orally.

Customer friendly personality.

Team Player.

Experience:

2-5 years minimum work experience in C/C++ programming. Broad software engineering experience is required, from overall system architecture to module design. Must have experience in:
Implementing machine vision (image processing, computer vision) algorithms
Industrial controls (motion control, data acquisition, assorted interfaces)
Real-time Programming
GUI/HMI design
Work Environment: Time is split between travel, customer facililities, and manufacturing environments.

Physical Demands: While performing the duties of this job is regularly required to sit, stand, and walk. Uses hands to finger, handle, or feel; reach with hands and arms; and talk or hear. Specific vision abilities include close vision, distance vision, color vision, and ability to adjust focus.

BENEFITS

JBT Corporation offers the growth potential of a company with a developing technology that is unique in its field, plus frequent company-sponsored events and a competitive benefits package that includes medical, dental and vision coverage and 401(k) plan.

AN EQUAL OPPORTUNITY EMPLOYER

It is the policy of JBT Corporation to provide equal opportunity for qualified persons and not to discriminate against any applicant for employment because of race, color, religion, national origin, sex, sexual orientation, gender identity, age, disability, veteran status, citizenship, or any other characteristic protected by federal, state or local law at the JBT Corporation location to which this application is submitted. In addition, as a Federal Government contractor, JBT Corporation is an affirmative action employer. If you require accommodation during the application process, please contact the local Human Resources department. EOE-Females/Minorities/Protected Veterans/Individuals with Disabilities

If you have a disability or impairment that prevents you from completing the online application, please seek the assistance of your local employment services agency. JBT maintains active relationships with local employment services agencies, and they have pledged their support in assisting any applicant needing help in applying. To find information on agencies throughout the United States, please go to www.careeronestop.org

You may also call Megan Centers at 844-286-4524 if your disability or impairment prevents you from applying online. NOTE: Do not use this number unless you need assistance because of a disability or impairment. The personnel attending this phone line will not be able to give you a status update regarding your application and will not be the individuals making a decision regarding your employment.",4.0,"John Bean Technologies Corporation
4.0","Kingston, NY","Chicago, IL",5001 to 10000 employees,1884,Company - Public,Industrial Manufacturing,Manufacturing,$1 to $2 billion (USD),Unknown,Reg,"John Bean Technologies Corporation
",unspecified,66,110,Kingston, NY,yes,88.0,No,136,Yes,No,No,Yes,No
Software Engineer,$66K-$110K(Employer est.),"Job Description

Primary Purpose:

Under direct supervision, develop software, execute system test plans and/or DevOps support for IP/telecommunication systems on multiple hardware platforms utilizing Linux and/or Unix-based operating systems.

Duties and Responsibilities:
Work from existing design specifications to implement, test and document software for communication systems and/or subsystems
Work closely with hardware and software development engineers to design and write basic test plans and execute testing on complex communication systems
Implement, administer and troubleshoot lab network infrastructure devices, such as switches, routers, and user workstations
Modify system hardware and configuration databases to conform to project requirements
Work in a telecommunications development lab environment, use automation tools and lab test equipment, including protocol analyzers
Operate effectively and comfortably in a team environment
Travel to other CACI Locations or Customer Sites as necessary
Understand and adhere to all CACI Ethical and Compliance policies
Proactively ensure a safe work environment and adhere to CACI EH&S policies and procedures
Perform other duties as required
Skills and Knowledge:
Familiar with software engineering process concepts from requirements reviews, code inspection, and system test plan creation to component delivery and sign-off
Use of development tools (e.g. editors, compliers, debuggers)
Knowledge of IP networking and/or telecommunications equipment installation, configuration and maintenance
Implement, administer and troubleshoot lab network infrastructure devices, such as switches, routers, and user workstations
Knowledge of Windows and Unix/Solaris/Linux based servers, workstations, and network is desired
Some experience debugging system-level issues with various lab equipment
Knowledge of Microsoft software applications and other software applications as required
Knowledge of IP based telephony including its architecture, configuration and maintenance is desired
Install, configure, administer, and maintain Windows Domain/Active Directory Servers and hardware, Windows based workstations and Unix/Solaris/Linux based servers as well as storage and backup infrastructures is desired.
Minimum Education and Experience:
Bachelors Degree in Computer Science, Electrical Engineering or related technical discipline and 0-2 years of experience or an equivalent combination of education, skills, and experience.
There is no clearance requirement to begin employment. However, as a requirement of continued employment in this position you will be required to obtain a Top Secret clearance.

What We Can Offer You:
Weve been named a Best Place to Work by the Washington Post.
Our employees value the flexibility at CACI that allows them to balance quality work and their personal lives.
We offer competitive benefits and learning and development opportunities.
We are mission-oriented and ever vigilant in aligning our solutions with the nations highest priorities.
For over 55 years, the principles of CACIs unique, character-based culture have been the driving force behind our success.

el4

Job Location

US-Lisle-IL-CHICAGO

CACI employs a diverse range of talent to create an environment that fuels innovation and fosters continuous improvement and success. At CACI, you will have the opportunity to make an immediate impact by providing information solutions and services in support of national security missions and government transformation for Intelligence, Defense, and Federal Civilian customers. CACI is proud to provide dynamic careers for employees worldwide. CACI is an Equal Opportunity Employer - Females/Minorities/Protected Veterans/Individuals with Disabilities.",3.5,"CACI International
3.5","Lisle, IL","Arlington, VA",10000+ employees,1962,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),"CSC, ManTech, SAIC",Reg,"CACI International
",unspecified,66,110,Lisle, IL,yes,88.0,No,58,No,No,No,No,No
Software Engineer,$66K-$110K(Employer est.),"ArsenalBio is building a programmable cell therapy company to create highly effective accessible immune cell therapies to impact outcomes for a much broader number of patients, initially those with cancer. Founded in 2019, ArsenalBio is focused on integrating technologies such as CRISPR-based genome engineering, scaled and high throughput target identification synthetic biology, and machine learning to advance a new paradigm to discover and develop in immune cell therapies.

The Software Engineering team is a crucial part of our organization and is broadly responsible for building and supporting the software applications and their components.
What You Will Do:
Design and implement software solutions
Analyze, design and develop tests and test-automation suites.
Manage individual project priorities,deadlines and deliverables.
Design and develop a processing platform using various configuration management technologies
Provide ongoing maintenance, support, and enhancements in existing systems and platforms.
Collaborate cross-functionally with data scientists, business users, project managers, and other engineers to achieve elegant solutions.
Provide recommendations for continuous improvement.
Work alongside other engineers on the team to elevate technology and consistently apply best practices
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status",5.0,"Arsenal Biosciences
5.0","South San Francisco, CA","South San Francisco, CA",51 to 200 employees,2019,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,Unknown,Reg,"Arsenal Biosciences
",unspecified,66,110,South San Francisco, CA,no,88.0,Yes,1,No,No,No,No,No
